Order ID,Order Date,Ship Date,Customer Segment,Region,State,Category,Sub-Category,Quantity,Sales,Discount,Discounted Sales,Shipping Cost,Profit,Net Profitability
ORD-1038,5/24/2022,5/28/2022,Consumer,West,Nevada,Office Supplies,Pens & Art,15,3761.29,0,3761.29,7,1051.06,27.94%
ORD-1039,3/13/2024,3/17/2024,Home Office,West,Washington,Furniture,Storage,11,6625.14,0,6625.14,47.5,847.02,12.78%
ORD-1040,3/20/2024,3/23/2024,Home Office,West,Oregon,Technology,Accessories,11,2947.62,0.05,2800.24,18.17,414.58,14.81%
ORD-1041,5/21/2024,5/24/2024,Corporate,Central,Ohio,Office Supplies,Paper,10,2781.23,0.2,2224.98,8.2,-491.96,-22.11%
ORD-1042,1/20/2023,1/27/2023,Consumer,East,New York,Technology,Phones,14,8655.70,0.05,8222.92,17.82,159.11,1.93%
ORD-1043,6/21/2022,6/23/2022,Consumer,Central,Kansas,Office Supplies,Envelopes,12,232.23,0.2,185.78,7.81,-17.21,-9.26%
ORD-1044,1/28/2022,2/3/2022,Consumer,West,Arizona,Technology,Printers,2,746.65,0.45,410.66,21.01,-281.45,-68.54%
ORD-1045,7/15/2024,7/19/2024,Corporate,Central,Colorado,Furniture,Storage,15,2099.08,0.2,1679.26,43.36,-264.90,-15.77%
ORD-1046,9/15/2023,9/19/2023,Home Office,South,Alabama,Furniture,Storage,2,1150.27,0,1150.27,37.39,138.32,12.03%
ORD-1047,6/23/2022,6/28/2022,Consumer,Central,Indiana,Technology,Phones,4,261.68,0.05,248.6,16.77,-0.06,-0.02%
ORD-1048,12/23/2024,12/28/2024,Consumer,West,Arizona,Technology,Monitors,1,687.53,0.2,550.02,19.85,-104.96,-19.08%
ORD-1049,8/18/2024,8/22/2024,Corporate,North,North Dakota,Furniture,Tables,13,6351.19,0.35,4128.27,43.75,-2283.67,-55.32%
ORD-1050,10/24/2023,10/30/2023,Corporate,West,Oregon,Technology,Monitors,3,2024.39,0,2024.39,24.96,194.95,9.63%
ORD-1051,2/5/2023,2/9/2023,Corporate,North,Minnesota,Office Supplies,Labels,14,5284.07,0,5284.07,5.29,1583.63,29.97%
ORD-1052,4/9/2023,4/11/2023,Corporate,South,Alabama,Furniture,Bookcases,14,1110.15,0,1110.15,51.42,151.10,13.61%
ORD-1053,11/7/2022,11/12/2022,Consumer,East,New York,Office Supplies,Binders,14,433.98,0,433.98,5.2,106.94,24.64%
ORD-1054,11/20/2022,11/23/2022,Home Office,North,Michigan,Technology,Monitors,10,7715.32,0.15,6558.02,14.04,-725.59,-11.06%
ORD-1055,9/13/2023,9/20/2023,Consumer,East,New Jersey,Office Supplies,Binders,12,2048.27,0.1,1843.44,7.1,200.65,10.88%
ORD-1056,11/26/2024,11/28/2024,Consumer,South,Louisiana,Office Supplies,Pens & Art,1,287.55,0.05,273.17,6.98,55.27,20.23%
ORD-1057,11/14/2022,11/17/2022,Home Office,Central,Kansas,Furniture,Chairs,6,3083.61,0.2,2466.89,42.92,-284.23,-11.52%
ORD-1058,9/25/2024,9/29/2024,Consumer,West,Oregon,Office Supplies,Labels,8,3039.41,0.2,2431.53,7.27,46.45,1.91%
ORD-1059,4/19/2023,4/23/2023,Consumer,East,Massachusetts,Technology,Accessories,10,5395.28,0,5395.28,12.96,1183.07,21.93%
ORD-1060,5/23/2024,5/26/2024,Corporate,South,Georgia,Technology,Accessories,15,3478.06,0,3478.06,19.11,759.44,21.84%
ORD-1061,9/23/2022,9/25/2022,Consumer,North,North Dakota,Office Supplies,Envelopes,8,4176.27,0.05,3967.46,6.08,513.95,12.95%
ORD-1062,5/12/2024,5/19/2024,Corporate,North,Wisconsin,Technology,Monitors,8,3595.81,0,3595.81,17.96,354.19,9.85%
ORD-1063,5/4/2022,5/11/2022,Corporate,Central,Missouri,Furniture,Tables,12,1994.14,0.3,1395.9,51.24,-685.40,-49.10%
ORD-1064,10/20/2024,10/23/2024,Consumer,South,Georgia,Technology,Monitors,5,3923.50,0.2,3138.8,15.05,-569.50,-18.14%
ORD-1065,2/2/2022,2/7/2022,Consumer,East,Connecticut,Furniture,Chairs,9,2198.95,0,2198.95,48.15,359.38,16.34%
ORD-1066,7/6/2023,7/8/2023,Consumer,North,North Dakota,Office Supplies,Pens & Art,1,213.20,0.2,170.56,6.21,-1.86,-1.09%
ORD-1067,3/10/2024,3/15/2024,Corporate,West,California,Technology,Printers,2,1590.45,0.3,1113.32,19.63,-518.02,-46.53%
ORD-1068,6/10/2023,6/16/2023,Home Office,Central,Colorado,Office Supplies,Paper,14,6677.89,0.05,6344,5.48,-65.08,-1.03%
ORD-1069,9/22/2023,9/25/2023,Home Office,North,Wisconsin,Office Supplies,Binders,2,276.58,0,276.58,6.52,67.19,24.29%
ORD-1070,5/10/2022,5/17/2022,Corporate,North,North Dakota,Furniture,Storage,12,2843.21,0.2,2274.57,42.75,-354.01,-15.56%
ORD-1071,7/8/2024,7/10/2024,Corporate,South,Florida,Office Supplies,Labels,11,1451.52,0,1451.52,7.67,433.15,29.84%
ORD-1072,12/4/2023,12/8/2023,Consumer,North,Illinois,Furniture,Storage,8,4444.90,0.15,3778.16,41.23,-314.62,-8.33%
ORD-1073,9/24/2023,10/1/2023,Home Office,Central,Ohio,Furniture,Tables,6,2933.49,0.3,2053.44,32.09,-995.28,-48.47%
ORD-1074,1/16/2022,1/22/2022,Home Office,Central,Colorado,Technology,Accessories,9,4737.91,0,4737.91,14.89,1037.87,21.91%
ORD-1075,5/11/2023,5/18/2023,Home Office,West,Arizona,Furniture,Chairs,11,1068.22,0,1068.22,39.1,169.87,15.90%
ORD-1076,1/11/2022,1/17/2022,Corporate,West,Nevada,Office Supplies,Envelopes,5,1343.85,0.2,1075.08,5.9,-87.78,-8.16%
ORD-1077,1/12/2024,1/14/2024,Home Office,North,North Dakota,Office Supplies,Envelopes,10,6088.08,0.15,5174.87,6.06,-53.57,-1.04%
ORD-1078,7/16/2024,7/19/2024,Corporate,South,Georgia,Office Supplies,Paper,2,75.33,0.15,64.03,6.76,-11.63,-18.16%
ORD-1079,6/27/2022,6/30/2022,Corporate,South,Louisiana,Office Supplies,Binders,15,1561.00,0,1561,6.92,388.17,24.87%
ORD-1080,6/16/2023,6/22/2023,Home Office,West,Oregon,Furniture,Storage,4,1494.31,0,1494.31,40.68,182.06,12.18%
ORD-1081,11/11/2023,11/15/2023,Home Office,Central,Missouri,Technology,Laptops,15,9500.37,0,9500.37,22.94,1133.16,11.93%
ORD-1082,7/12/2023,7/16/2023,Home Office,East,Pennsylvania,Office Supplies,Envelopes,6,2689.53,0.1,2420.58,5.78,143.50,5.93%
ORD-1083,4/2/2023,4/9/2023,Home Office,South,Alabama,Technology,Printers,6,3597.56,0.45,1978.66,17.46,-1330.94,-67.26%
ORD-1084,12/28/2023,1/2/2024,Corporate,South,Louisiana,Technology,Phones,2,1402.48,0.05,1332.36,13.86,22.49,1.69%
ORD-1085,2/11/2023,2/15/2023,Consumer,North,Wisconsin,Technology,Monitors,10,5587.73,0.15,4749.57,13.61,-526.54,-11.09%
ORD-1086,1/8/2022,1/15/2022,Corporate,Central,Colorado,Furniture,Tables,11,6074.79,0.4,3644.87,58.72,-2277.44,-62.48%
ORD-1087,3/1/2023,3/5/2023,Corporate,North,North Dakota,Technology,Laptops,1,269.63,0,269.63,16.3,27.47,10.19%
ORD-1088,9/6/2022,9/9/2022,Consumer,West,Arizona,Technology,Printers,3,230.97,0.45,127.03,20.41,-91.23,-71.82%
ORD-1089,9/9/2023,9/13/2023,Home Office,West,Arizona,Technology,Phones,11,246.15,0.2,196.92,18.46,-42.95,-21.81%
ORD-1090,12/21/2023,12/24/2023,Consumer,Central,Missouri,Technology,Monitors,7,3898.27,0.05,3703.36,23.25,104.13,2.81%
ORD-1091,9/10/2024,9/14/2024,Corporate,West,Arizona,Technology,Phones,12,2961.07,0.2,2368.86,20.89,-456.35,-19.26%
ORD-1092,11/25/2023,12/2/2023,Home Office,North,Illinois,Office Supplies,Binders,13,2543.36,0.2,2034.69,5.68,-62.74,-3.08%
ORD-1093,12/2/2024,12/9/2024,Home Office,South,Texas,Furniture,Desks,5,3170.30,0.3,2219.21,46.44,-768.46,-34.63%
ORD-1094,3/26/2022,3/30/2022,Consumer,South,Alabama,Furniture,Bookcases,9,6327.19,0,6327.19,45.01,935.58,14.79%
ORD-1095,11/3/2023,11/10/2023,Corporate,South,Georgia,Furniture,Bookcases,3,1821.03,0,1821.03,54.69,256.75,14.10%
ORD-1096,1/4/2024,1/10/2024,Home Office,West,Arizona,Furniture,Chairs,8,2434.72,0.15,2069.51,49.17,-97.53,-4.71%
ORD-1097,7/18/2024,7/25/2024,Home Office,West,Washington,Furniture,Chairs,6,4400.86,0,4400.86,48.44,733.61,16.67%
ORD-1098,3/10/2022,3/13/2022,Home Office,West,California,Furniture,Tables,8,849.24,0.35,552.01,55.49,-320.25,-58.02%
ORD-1099,9/5/2024,9/11/2024,Corporate,West,Arizona,Furniture,Storage,15,5110.27,0,5110.27,53.91,648.16,12.68%
ORD-1100,7/28/2022,8/4/2022,Corporate,West,Washington,Technology,Accessories,6,557.96,0.15,474.27,17.23,-0.43,-0.09%
ORD-1101,12/3/2023,12/5/2023,Consumer,East,Pennsylvania,Furniture,Bookcases,11,1996.53,0.15,1697.05,46.96,-115.91,-6.83%
ORD-1102,3/7/2024,3/10/2024,Corporate,North,Illinois,Technology,Phones,10,1845.22,0.2,1476.18,15.54,-285.14,-19.32%
ORD-1103,8/4/2022,8/7/2022,Consumer,Central,Indiana,Furniture,Desks,11,7646.78,0.35,4970.41,29.84,-2046.82,-41.18%
ORD-1104,1/14/2024,1/18/2024,Corporate,Central,Missouri,Technology,Phones,9,937.93,0,937.93,18.6,78.83,8.40%
ORD-1105,4/2/2024,4/6/2024,Home Office,Central,Colorado,Technology,Monitors,12,7558.00,0.2,6046.4,20.9,-1094.62,-18.10%
ORD-1106,11/22/2023,11/24/2023,Home Office,West,Arizona,Technology,Laptops,2,799.72,0.05,759.73,13.53,33.93,4.47%
ORD-1107,4/19/2024,4/25/2024,Home Office,East,Pennsylvania,Technology,Laptops,9,5166.36,0.05,4908.04,25.13,237.86,4.85%
ORD-1108,2/4/2024,2/7/2024,Corporate,East,Massachusetts,Office Supplies,Labels,14,7405.30,0.2,5924.24,6.52,116.53,1.97%
ORD-1109,11/14/2023,11/18/2023,Corporate,West,Oregon,Technology,Monitors,12,1075.71,0.05,1021.92,16.54,25.70,2.51%
ORD-1110,2/3/2022,2/6/2022,Consumer,East,New York,Office Supplies,Envelopes,7,635.62,0.15,540.28,5.77,-7.13,-1.32%
ORD-1111,5/14/2022,5/21/2022,Consumer,Central,Colorado,Office Supplies,Labels,6,4204.69,0.2,3363.75,5.98,65.48,1.95%
ORD-1112,2/7/2024,2/11/2024,Corporate,North,Michigan,Office Supplies,Pens & Art,3,1591.61,0,1591.61,7.76,443.32,27.85%
ORD-1113,4/28/2023,5/5/2023,Corporate,Central,Colorado,Technology,Accessories,9,7020.17,0.2,5616.14,20.43,-343.10,-6.11%
ORD-1114,3/25/2024,3/28/2024,Consumer,Central,Ohio,Office Supplies,Pens & Art,5,3692.03,0,3692.03,4.23,1032.50,27.97%
ORD-1115,10/3/2022,10/7/2022,Home Office,Central,Indiana,Furniture,Chairs,12,5177.15,0.05,4918.29,41.74,479.31,9.75%
ORD-1116,9/5/2022,9/9/2022,Corporate,South,Louisiana,Furniture,Bookcases,3,1821.70,0,1821.7,49.21,258.49,14.19%
ORD-1117,7/7/2023,7/11/2023,Home Office,West,Nevada,Furniture,Tables,13,5423.49,0.4,3254.09,42.04,-2030.15,-62.39%
ORD-1118,4/2/2024,4/6/2024,Corporate,Central,Ohio,Office Supplies,Pens & Art,1,175.47,0,175.47,7.42,46.91,26.73%
ORD-1119,11/5/2022,11/12/2022,Corporate,East,Massachusetts,Technology,Laptops,7,3031.54,0,3031.54,18.9,358.11,11.81%
ORD-1120,1/28/2022,2/4/2022,Consumer,East,Massachusetts,Furniture,Chairs,6,2801.83,0.1,2521.65,41.29,63.26,2.51%
ORD-1121,12/26/2022,12/28/2022,Corporate,West,California,Technology,Monitors,10,3761.76,0.15,3197.5,24.19,-358.98,-11.23%
ORD-1122,6/13/2022,6/16/2022,Consumer,West,Nevada,Technology,Monitors,14,3619.92,0,3619.92,15.39,357.38,9.87%
ORD-1123,8/12/2023,8/15/2023,Home Office,North,Illinois,Office Supplies,Binders,12,9206.46,0.15,7825.49,7.62,310.73,3.97%
ORD-1124,9/3/2024,9/9/2024,Consumer,North,Wisconsin,Furniture,Desks,3,2285.29,0.45,1256.91,43.04,-704.21,-56.03%
ORD-1125,5/11/2024,5/15/2024,Corporate,Central,Colorado,Office Supplies,Labels,3,1080.64,0.05,1026.61,6.06,234.30,22.82%
ORD-1126,2/15/2023,2/22/2023,Home Office,East,Connecticut,Technology,Accessories,1,59.66,0.2,47.73,16.22,-7.73,-16.20%
ORD-1127,7/26/2024,8/1/2024,Home Office,North,North Dakota,Office Supplies,Labels,12,8619.16,0.05,8188.2,8.02,1880.88,22.97%
ORD-1128,3/15/2022,3/22/2022,Corporate,South,Louisiana,Office Supplies,Envelopes,2,1303.22,0.2,1042.58,5.64,-85.10,-8.16%
ORD-1129,4/15/2023,4/19/2023,Home Office,North,Minnesota,Office Supplies,Paper,9,3828.21,0,3828.21,5.73,227.97,5.96%
ORD-1130,11/11/2024,11/15/2024,Corporate,West,California,Furniture,Storage,2,547.61,0.1,492.85,49.34,-19.73,-4.00%
ORD-1131,5/22/2024,5/29/2024,Home Office,East,Pennsylvania,Office Supplies,Labels,3,2203.94,0,2203.94,8.26,658.70,29.89%
ORD-1132,9/26/2024,10/3/2024,Consumer,West,Oregon,Office Supplies,Binders,6,3920.10,0.15,3332.09,7.15,131.14,3.94%
ORD-1133,6/10/2023,6/15/2023,Consumer,Central,Colorado,Office Supplies,Envelopes,3,2285.00,0,2285,8.18,454.55,19.89%
ORD-1134,5/17/2022,5/19/2022,Consumer,South,Texas,Technology,Phones,13,5703.36,0.15,4847.86,23.73,-588.86,-12.15%
ORD-1135,3/27/2022,3/29/2022,Home Office,East,Massachusetts,Technology,Printers,12,7443.74,0.35,4838.43,21.69,-2570.87,-53.13%
ORD-1136,9/26/2024,10/1/2024,Corporate,West,Arizona,Office Supplies,Paper,8,1589.54,0,1589.54,5.5,93.72,5.90%
ORD-1137,7/25/2023,7/28/2023,Corporate,South,Alabama,Office Supplies,Labels,7,2868.47,0.05,2725.05,8.26,624.28,22.91%
ORD-1138,12/4/2024,12/6/2024,Consumer,Central,Kansas,Furniture,Chairs,12,8148.31,0.2,6518.65,33.07,-726.97,-11.15%
ORD-1139,11/8/2022,11/13/2022,Corporate,South,Florida,Furniture,Storage,14,5167.90,0,5167.9,56.76,654.80,12.67%
ORD-1140,6/12/2022,6/19/2022,Corporate,North,Wisconsin,Office Supplies,Pens & Art,4,148.51,0,148.51,7.72,39.27,26.44%
ORD-1141,12/23/2023,12/29/2023,Consumer,East,New Jersey,Technology,Laptops,14,1735.33,0.15,1475.03,18.51,-138.31,-9.38%
ORD-1142,11/24/2024,11/27/2024,Consumer,North,Wisconsin,Technology,Accessories,10,4293.01,0,4293.01,22.38,937.75,21.84%
ORD-1143,9/15/2024,9/17/2024,Consumer,East,Massachusetts,Technology,Phones,2,204.05,0.05,193.85,20.12,-2.16,-1.11%
ORD-1144,7/12/2024,7/14/2024,Home Office,Central,Missouri,Technology,Phones,4,1851.88,0,1851.88,20.97,160.38,8.66%
ORD-1145,8/18/2024,8/23/2024,Corporate,Central,Colorado,Technology,Printers,1,321.51,0.45,176.83,13.15,-122.42,-69.23%
ORD-1146,11/10/2023,11/15/2023,Corporate,East,New Jersey,Office Supplies,Binders,12,6369.92,0,6369.92,7.44,1590.25,24.96%
ORD-1147,5/6/2024,5/11/2024,Consumer,East,Connecticut,Technology,Accessories,14,8772.78,0.05,8334.14,24.96,1242.63,14.91%
ORD-1148,5/26/2022,6/1/2022,Consumer,South,Texas,Technology,Monitors,4,2841.38,0,2841.38,24.36,276.83,9.74%
ORD-1149,11/10/2022,11/14/2022,Home Office,West,California,Furniture,Bookcases,6,4150.67,0,4150.67,54.85,606.15,14.60%
ORD-1150,11/11/2023,11/17/2023,Corporate,East,Massachusetts,Furniture,Tables,3,1213.56,0.45,667.46,40.2,-472.61,-70.81%
ORD-1151,7/18/2022,7/22/2022,Consumer,East,New York,Office Supplies,Envelopes,5,1335.75,0,1335.75,5.58,265.48,19.87%
ORD-1152,10/15/2023,10/20/2023,Corporate,East,Pennsylvania,Office Supplies,Envelopes,1,585.55,0,585.55,6.78,115.08,19.65%
ORD-1153,6/22/2024,6/29/2024,Home Office,East,Massachusetts,Technology,Laptops,3,2288.82,0,2288.82,23.29,267.67,11.69%
ORD-1154,11/12/2023,11/19/2023,Consumer,West,Washington,Technology,Laptops,7,5322.32,0,5322.32,20.22,632.61,11.89%
ORD-1155,9/9/2024,9/14/2024,Corporate,West,California,Furniture,Tables,7,1832.55,0.4,1099.53,36.74,-692.73,-63.00%
ORD-1156,6/4/2024,6/10/2024,Home Office,North,Illinois,Technology,Monitors,5,3116.74,0.15,2649.23,18.22,-296.88,-11.21%
ORD-1157,3/15/2022,3/22/2022,Home Office,East,New York,Furniture,Desks,3,2161.39,0.45,1188.76,58.72,-671.43,-56.48%
ORD-1158,8/28/2023,9/1/2023,Home Office,East,Connecticut,Furniture,Chairs,3,1721.31,0.15,1463.11,48.15,-72.97,-4.99%
ORD-1159,4/1/2023,4/7/2023,Consumer,Central,Indiana,Technology,Phones,6,2699.44,0,2699.44,18.49,237.40,8.79%
ORD-1160,6/24/2024,6/30/2024,Home Office,South,Georgia,Technology,Laptops,8,3421.37,0.2,2737.1,17.76,-443.26,-16.19%
ORD-1161,7/12/2024,7/18/2024,Consumer,North,North Dakota,Furniture,Chairs,3,2112.60,0.2,1690.08,45.61,-199.59,-11.81%
ORD-1162,11/5/2024,11/8/2024,Consumer,South,Texas,Furniture,Storage,5,721.28,0,721.28,56.88,76.70,10.63%
ORD-1163,3/9/2024,3/15/2024,Home Office,East,New Jersey,Furniture,Chairs,3,1516.93,0.1,1365.24,45.08,27.43,2.01%
ORD-1164,10/20/2024,10/22/2024,Home Office,South,Florida,Office Supplies,Paper,6,4058.32,0.1,3652.49,4.37,-293.51,-8.04%
ORD-1165,10/14/2024,10/20/2024,Consumer,North,Michigan,Office Supplies,Labels,10,5166.08,0.05,4907.78,7.93,1126.41,22.95%
ORD-1166,11/13/2024,11/18/2024,Home Office,East,Pennsylvania,Furniture,Tables,5,1855.16,0.3,1298.61,34.05,-633.55,-48.79%
ORD-1167,3/11/2024,3/14/2024,Corporate,West,Nevada,Technology,Accessories,12,9487.18,0,9487.18,24.89,2079.71,21.92%
ORD-1168,4/9/2022,4/14/2022,Home Office,East,New Jersey,Office Supplies,Binders,8,1676.93,0,1676.93,4.41,417.91,24.92%
ORD-1169,12/11/2024,12/16/2024,Corporate,Central,Missouri,Technology,Phones,4,2456.20,0.05,2333.39,25.15,39.12,1.68%
ORD-1170,12/15/2024,12/19/2024,Corporate,West,California,Furniture,Chairs,4,735.55,0,735.55,30.83,115.79,15.74%
ORD-1171,8/14/2022,8/19/2022,Home Office,West,Oregon,Office Supplies,Envelopes,3,2123.18,0.15,1804.7,5.74,-19.77,-1.10%
ORD-1172,9/18/2023,9/24/2023,Consumer,East,Connecticut,Furniture,Chairs,5,363.61,0.1,327.25,42.64,-2.97,-0.91%
ORD-1173,2/13/2022,2/17/2022,Home Office,East,New York,Office Supplies,Labels,6,3833.97,0,3833.97,6.54,1148.23,29.95%
ORD-1174,8/2/2022,8/7/2022,Consumer,South,Alabama,Office Supplies,Labels,3,1725.51,0.2,1380.41,6.19,25.75,1.87%
ORD-1175,12/6/2023,12/12/2023,Home Office,South,Georgia,Office Supplies,Paper,7,5548.43,0.15,4716.17,7.74,-709.75,-15.05%
ORD-1176,10/16/2023,10/21/2023,Home Office,East,Massachusetts,Office Supplies,Labels,14,392.84,0,392.84,7.03,115.74,29.46%
ORD-1177,7/26/2024,8/1/2024,Corporate,Central,Colorado,Office Supplies,Binders,13,6098.33,0,6098.33,7.23,1522.41,24.96%
ORD-1178,3/8/2024,3/10/2024,Consumer,West,Arizona,Office Supplies,Labels,1,464.47,0.15,394.8,4.66,34.13,8.64%
ORD-1179,10/17/2023,10/24/2023,Corporate,West,Arizona,Furniture,Desks,13,6435.13,0.45,3539.32,55.06,-1963.14,-55.47%
ORD-1180,9/16/2024,9/22/2024,Home Office,North,Wisconsin,Technology,Printers,9,2797.27,0.35,1818.23,18.39,-969.18,-53.30%
ORD-1181,7/9/2022,7/16/2022,Home Office,East,Connecticut,Furniture,Bookcases,9,2243.90,0,2243.9,52.07,320.96,14.30%
ORD-1182,7/26/2024,8/1/2024,Home Office,South,Georgia,Office Supplies,Envelopes,12,2755.97,0,2755.97,6.61,549.21,19.93%
ORD-1183,1/3/2024,1/6/2024,Corporate,West,Oregon,Furniture,Desks,6,4442.09,0.4,2665.25,51.37,-1294.73,-48.58%
ORD-1184,3/24/2024,3/30/2024,Home Office,South,Georgia,Furniture,Storage,10,2028.36,0,2028.36,49.09,248.96,12.27%
ORD-1185,6/16/2024,6/22/2024,Home Office,South,Texas,Technology,Laptops,2,1099.47,0,1099.47,12.67,128.14,11.65%
ORD-1186,10/11/2023,10/17/2023,Corporate,South,Alabama,Office Supplies,Envelopes,5,2610.15,0.2,2088.12,4.58,-168.42,-8.07%
ORD-1187,6/2/2022,6/9/2022,Home Office,South,Florida,Office Supplies,Binders,14,4572.97,0.05,4344.32,4.98,780.48,17.97%
ORD-1188,9/10/2023,9/13/2023,Consumer,East,Connecticut,Technology,Accessories,8,6331.54,0.1,5698.39,19.21,450.11,7.90%
ORD-1189,5/15/2024,5/19/2024,Corporate,Central,Ohio,Furniture,Desks,11,2386.48,0.35,1551.21,29.81,-644.94,-41.58%
